cvegeomun,nom_juri,cvegeojuri
"15060",ATIZAPÁN DE ZARAGOZA,"1510"
"15061",TEOTIHUACÁN,"1513"
"15062",XONACATLÁN,"1506"
"15063",TENANCINGO,"1508"
"15064",ATLACOMULCO,"1501"
"15065",TEOTIHUACÁN,"1513"
"15066",VALLE DE BRAVO,"1509"
"15067",XONACATLÁN,"1506"
"15068",AMECAMECA,"1516"
"15069",TEXCOCO,"1519"
"15070",NEZAHUALCÓYOTL,"1518"
"15071",JILOTEPEC,"1503"
"15072",TENANGO DEL VALLE,"1504"
"15073",TENANGO DEL VALLE,"1504"
"15074",IXTLAHUACA,"1502"
"15075",TEOTIHUACÁN,"1513"
"15076",XONACATLÁN,"1506"
"15077",TEJUPILCO,"1507"
